"filename", "language", "PHP", "comment", "blank", "total"
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\model\ActiveRecord.php", "PHP", 117, 9, 43, 169
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\model\Appointment.php", "PHP", 20, 0, 3, 23
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\model\AppointmentService.php", "PHP", 16, 0, 3, 19
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\model\AvailableTime.php", "PHP", 12, 0, 3, 15
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\model\BookedAppointment.php", "PHP", 43, 0, 4, 47
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\model\Database.php", "PHP", 130, 34, 62, 226
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\model\Employee.php", "PHP", 16, 0, 3, 19
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\model\Role.php", "PHP", 12, 0, 3, 15
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\model\Service.php", "PHP", 29, 1, 8, 38
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\model\User.php", "PHP", 300, 15, 96, 411
"Total", "-", 695, 59, 228, 982
