"filename", "language", "PHP", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\model\ActiveRecord.php", "PHP", -117, 0, 0, -9, -43, -169
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\model\Appointment.php", "PHP", -20, 0, 0, 0, -3, -23
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\model\AppointmentService.php", "PHP", -16, 0, 0, 0, -3, -19
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\model\AvailableTime.php", "PHP", -12, 0, 0, 0, -3, -15
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\model\BookedAppointment.php", "PHP", -43, 0, 0, 0, -4, -47
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\model\Database.php", "PHP", -130, 0, 0, -34, -62, -226
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\model\Employee.php", "PHP", -16, 0, 0, 0, -3, -19
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\model\Role.php", "PHP", -12, 0, 0, 0, -3, -15
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\model\Service.php", "PHP", -29, 0, 0, -1, -8, -38
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\model\User.php", "PHP", -300, 0, 0, -15, -96, -411
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\public\build\css\app.css", "CSS", 0, 0, 1, 0, 1, 2
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\public\build\js\helper.js", "JavaScript", 0, 1, 0, 0, 0, 1
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\public\build\js\modernizr.js", "JavaScript", 0, 1, 0, 2, 0, 3
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\public\build\js\searchbar.js", "JavaScript", 0, 1, 0, 0, 0, 1
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\public\build\js\svg.js", "JavaScript", 0, 1, 0, 0, 0, 1
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\public\build\js\table.js", "JavaScript", 0, 1, 0, 0, 0, 1
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\public\build\js\users\admin.js", "JavaScript", 0, 0, 0, 0, 1, 1
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\public\build\js\users\customer.js", "JavaScript", 0, 1, 0, 0, 0, 1
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\public\build\js\users\employee.js", "JavaScript", 0, 1, 0, 0, 0, 1
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\public\index.php", "PHP", 56, 0, 0, 14, 31, 101
"Total", "-", -639, 7, 1, -43, -195, -869
