"filename", "language", "PHP", "Markdown", "JSON", "SCSS", "JavaScript", "CSS", "MS SQL", "comment", "blank", "total"
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\Router.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 8, 16, 59
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\classes\Email.php", "PHP", 39, 0, 0, 0, 0, 0, 0, 2, 9, 50
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\composer.json", "JSON", 0, 0, 21, 0, 0, 0, 0, 0, 1, 22
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\composer.lock", "JSON", 0, 0, 100, 0, 0, 0, 0, 0, 1, 101
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\controller\APIController.php", "PHP", 305, 0, 0, 0, 0, 0, 0, 23, 100, 428
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\controller\AdminController.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 0, 5, 18
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\controller\CustomerController.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 0, 5, 30
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\controller\EmployeeController.php", "PHP", 120, 0, 0, 0, 0, 0, 0, 29, 34, 183
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\controller\LoginController.php", "PHP", 112, 0, 0, 0, 0, 0, 0, 6, 30, 148
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\controller\RoleController.php", "PHP", 68, 0, 0, 0, 0, 0, 0, 0, 24, 92
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\controller\ServiceController.php", "PHP", 84, 0, 0, 0, 0, 0, 0, 0, 24, 108
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\database\barbershop_database.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 152, 0, 20, 172
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\database\barbershop_database28092024.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 185, 0, 17, 202
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\database\barbershop_databaseold.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 71, 0, 13, 84
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\gulpfile.js", "JavaScript", 0, 0, 0, 0, 63, 0, 0, 2, 11, 76
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\includes\app.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 2, 4, 18
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\includes\errors.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 1, 2, 20
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\includes\functions.php", "PHP", 42, 0, 0, 0, 0, 0, 0, 4, 18, 64
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\model\ActiveRecord.php", "PHP", 117, 0, 0, 0, 0, 0, 0, 9, 43, 169
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\model\Appointment.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 3, 23
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\model\AppointmentService.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\model\AvailableTime.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\model\BookedAppointment.php", "PHP", 43, 0, 0, 0, 0, 0, 0, 0, 4, 47
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\model\Database.php", "PHP", 130, 0, 0, 0, 0, 0, 0, 34, 62, 226
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\model\Employee.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\model\Role.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\model\Service.php", "PHP", 29, 0, 0, 0, 0, 0, 0, 1, 8, 38
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\model\User.php", "PHP", 300, 0, 0, 0, 0, 0, 0, 15, 96, 411
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\package-lock.json", "JSON", 0, 0, 2860, 0, 0, 0, 0, 0, 1, 2861
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\package.json", "JSON", 0, 0, 23, 0, 0, 0, 0, 0, 1, 24
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\public\build\css\app.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\public\build\js\helper.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\public\build\js\modernizr.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 2, 0, 3
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\public\build\js\searchbar.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\public\build\js\svg.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\public\build\js\table.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\public\build\js\users\admin.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\public\build\js\users\customer.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\public\build\js\users\employee.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\public\index.php", "PHP", 56, 0, 0, 0, 0, 0, 0, 14, 31, 101
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\src\js\helper.js", "JavaScript", 0, 0, 0, 0, 77, 0, 0, 7, 28, 112
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\src\js\modernizr.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 2, 0, 3
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\src\js\searchbar.js", "JavaScript", 0, 0, 0, 0, 76, 0, 0, 4, 23, 103
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\src\js\svg.js", "JavaScript", 0, 0, 0, 0, 268, 0, 0, 50, 64, 382
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\src\js\table.js", "JavaScript", 0, 0, 0, 0, 60, 0, 0, 10, 24, 94
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\src\js\users\admin.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\src\js\users\customer.js", "JavaScript", 0, 0, 0, 0, 507, 0, 0, 39, 163, 709
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\src\js\users\employee.js", "JavaScript", 0, 0, 0, 0, 281, 0, 0, 5, 89, 375
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\src\scss\app.scss", "SCSS", 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\src\scss\base\_globals.scss", "SCSS", 0, 0, 0, 46, 0, 0, 0, 0, 5, 51
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\src\scss\base\_index.scss", "SCSS", 0, 0, 0, 8, 0, 0, 0, 0, 0, 8
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\src\scss\base\_keen-slider.scss", "SCSS", 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\src\scss\base\_mixins.scss", "SCSS", 0, 0, 0, 66, 0, 0, 0, 1, 12, 79
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\src\scss\base\_normalize.scss", "SCSS", 0, 0, 0, 146, 0, 0, 0, 129, 75, 350
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\src\scss\base\_properties.scss", "SCSS", 0, 0, 0, 19, 0, 0, 0, 4, 5, 28
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\src\scss\base\_scrollbar.scss", "SCSS", 0, 0, 0, 15, 0, 0, 0, 3, 3, 21
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\src\scss\base\_typography.scss", "SCSS", 0, 0, 0, 33, 0, 0, 0, 0, 2, 35
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\src\scss\base\_utilities.scss", "SCSS", 0, 0, 0, 32, 0, 0, 0, 0, 9, 41
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\src\scss\components\_actions.scss", "SCSS", 0, 0, 0, 20, 0, 0, 0, 5, 5, 30
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\src\scss\components\_alerts.scss", "SCSS", 0, 0, 0, 38, 0, 0, 0, 0, 8, 46
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\src\scss\components\_appointment.scss", "SCSS", 0, 0, 0, 2, 0, 0, 0, 0, 2, 4
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\src\scss\components\_bar.scss", "SCSS", 0, 0, 0, 35, 0, 0, 0, 0, 9, 44
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\src\scss\components\_buttons.scss", "SCSS", 0, 0, 0, 16, 0, 0, 0, 0, 2, 18
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\src\scss\components\_crud-actions.scss", "SCSS", 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\src\scss\components\_employees-slider.scss", "SCSS", 0, 0, 0, 75, 0, 0, 0, 0, 14, 89
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\src\scss\components\_flatpickr.scss", "SCSS", 0, 0, 0, 44, 0, 0, 0, 0, 14, 58
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\src\scss\components\_form.scss", "SCSS", 0, 0, 0, 62, 0, 0, 0, 0, 11, 73
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\src\scss\components\_index.scss", "SCSS", 0, 0, 0, 13, 0, 0, 0, 0, 0, 13
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\src\scss\components\_pagination.scss", "SCSS", 0, 0, 0, 33, 0, 0, 0, 0, 8, 41
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\src\scss\components\_search-bar.scss", "SCSS", 0, 0, 0, 49, 0, 0, 0, 7, 12, 68
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\src\scss\components\_services.scss", "SCSS", 0, 0, 0, 48, 0, 0, 0, 0, 9, 57
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\src\scss\components\_table.scss", "SCSS", 0, 0, 0, 76, 0, 0, 0, 0, 13, 89
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\src\scss\components\_tabs.scss", "SCSS", 0, 0, 0, 41, 0, 0, 0, 1, 7, 49
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\src\scss\layout\_customer.scss", "SCSS", 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\src\scss\layout\_employee.scss", "SCSS", 0, 0, 0, 193, 0, 0, 0, 0, 38, 231
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\src\scss\layout\_index.scss", "SCSS", 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
